title,price,sales,rating,reviews,image,url,keyword,rank,period
Vintage Wolf Head Graphic T-Shirt Men,$8.99,12.5k sold,4.8,3.2k reviews,https://example.com/wolf.jpg,https://temu.com/wolf,graphic tee,1,daily
Funny Sarcasm Quote Slogan Tee,$7.50,8.3k sold,4.6,2.1k reviews,https://example.com/sarcasm.jpg,https://temu.com/sarcasm,funny shirt,2,daily
Minimalist Mountain Hiking Outdoor Tee,$9.99,5.2k sold,4.7,1.8k reviews,https://example.com/mountain.jpg,https://temu.com/mountain,outdoor shirt,1,weekly
Lion Head King Jungle Animal Graphic,$11.99,15.7k sold,4.9,4.5k reviews,https://example.com/lion.jpg,https://temu.com/lion,animal print,3,daily
Vintage Lips Retro Pop Art Tee,$6.99,9.1k sold,4.5,2.8k reviews,https://example.com/lips.jpg,https://temu.com/lips,retro art,4,daily
Football Sunday Game Day Sport Tee,$8.50,7.3k sold,4.4,1.9k reviews,https://example.com/football.jpg,https://temu.com/football,sports shirt,2,weekly
Moth Floral Gothic Watercolor Tee,$10.99,4.8k sold,4.8,1.5k reviews,https://example.com/moth.jpg,https://temu.com/moth,floral design,5,daily
Moon Phase Celestial Minimalist Tee,$7.99,6.2k sold,4.6,2.0k reviews,https://example.com/moon.jpg,https://temu.com/moon,celestial art,6,daily
BBQ Grill Master Funny Dad Quote Tee,$9.50,11.2k sold,4.7,3.1k reviews,https://example.com/bbq.jpg,https://temu.com/bbq,funny dad,3,weekly
Hunting Season Deer Hunter Outdoor,$12.99,3.9k sold,4.9,1.2k reviews,https://example.com/hunt.jpg,https://temu.com/hunt,hunting shirt,7,daily
